task_id,task,status,处理人,模块,迭代,预计开始日期,预计结束日期,优先级顺序,优先级,重要程度,抄送人,父工作项,领域,预计工时,具体内容
TK-11,"编写并执行黑盒验收：城市全量列表",待开发,Ning_24,接口验收,迭代1,2026-07-17,2026-07-17,11,P0,关键,anmory666,ST-04,测试,1h,"城市全量列表 的接口成功/失败码、权限和数据结果"
TK-12,"编写并执行黑盒验收：城市分页列表",待开发,Ning_24,接口验收,迭代1,2026-07-17,2026-07-17,12,P0,关键,anmory666,ST-04,测试,1h,"城市分页列表 的接口成功/失败码、权限和数据结果"
TK-13,"编写并执行黑盒验收：新增城市",待开发,Ning_24,接口验收,迭代1,2026-07-17,2026-07-17,13,P0,关键,anmory666,ST-04,测试,1h,"新增城市 的接口成功/失败码、权限和数据结果"
TK-14,"编写并执行黑盒验收：查询新增城市",待开发,Ning_24,接口验收,迭代1,2026-07-17,2026-07-17,14,P0,关键,anmory666,ST-04,测试,1h,"查询新增城市 的接口成功/失败码、权限和数据结果"
TK-15,"编写并执行黑盒验收：重复城市错误",待开发,Ning_24,接口验收,迭代1,2026-07-17,2026-07-17,15,P0,关键,anmory666,ST-04,测试,1h,"重复城市错误 的接口成功/失败码、权限和数据结果"
TK-16,"编写并执行黑盒验收：新增医药公司",待开发,Ning_24,接口验收,迭代1,2026-07-17,2026-07-17,16,P0,关键,anmory666,ST-04,测试,1h,"新增医药公司 的接口成功/失败码、权限和数据结果"
TK-17,"编写并执行黑盒验收：查询新增医药公司",待开发,Ning_24,接口验收,迭代1,2026-07-17,2026-07-17,17,P0,关键,anmory666,ST-04,测试,1h,"查询新增医药公司 的接口成功/失败码、权限和数据结果"
TK-18,"编写并执行黑盒验收：修改医药公司",待开发,Ning_24,接口验收,迭代1,2026-07-17,2026-07-17,18,P0,关键,anmory666,ST-04,测试,1h,"修改医药公司 的接口成功/失败码、权限和数据结果"
TK-19,"编写并执行黑盒验收：新增销售地点",待开发,Ning_24,接口验收,迭代1,2026-07-17,2026-07-17,19,P0,关键,anmory666,ST-04,测试,1h,"新增销售地点 的接口成功/失败码、权限和数据结果"
TK-20,"编写并执行黑盒验收：查询新增销售地点",待开发,Ning_24,接口验收,迭代1,2026-07-17,2026-07-17,20,P0,关键,anmory666,ST-04,测试,1h,"查询新增销售地点 的接口成功/失败码、权限和数据结果"
TK-21,"编写并执行黑盒验收：修改销售地点",待开发,Ning_24,接口验收,迭代1,2026-07-17,2026-07-17,21,P0,关键,anmory666,ST-04,测试,1h,"修改销售地点 的接口成功/失败码、权限和数据结果"
TK-22,"编写并执行黑盒验收：销售地点全量列表",待开发,Ning_24,接口验收,迭代1,2026-07-17,2026-07-17,22,P0,关键,anmory666,ST-04,测试,1h,"销售地点全量列表 的接口成功/失败码、权限和数据结果"
TK-23,"编写并执行黑盒验收：医生级别与科室字典",待开发,khyxone,接口验收,迭代1,2026-07-17,2026-07-17,23,P0,关键,anmory666,ST-06,测试,1h,"医生级别与科室字典 的接口成功/失败码、权限和数据结果"
TK-24,"编写并执行黑盒验收：新增医生",待开发,khyxone,接口验收,迭代1,2026-07-17,2026-07-17,24,P0,关键,anmory666,ST-06,测试,1h,"新增医生 的接口成功/失败码、权限和数据结果"
TK-25,"编写并执行黑盒验收：查询新增医生",待开发,khyxone,接口验收,迭代1,2026-07-17,2026-07-17,25,P0,关键,anmory666,ST-06,测试,1h,"查询新增医生 的接口成功/失败码、权限和数据结果"
TK-26,"编写并执行黑盒验收：修改医生",待开发,khyxone,接口验收,迭代1,2026-07-17,2026-07-17,26,P0,关键,anmory666,ST-06,测试,1h,"修改医生 的接口成功/失败码、权限和数据结果"
TK-27,"编写并执行黑盒验收：重复医生手机号错误",待开发,khyxone,接口验收,迭代1,2026-07-17,2026-07-17,27,P0,关键,anmory666,ST-06,测试,1h,"重复医生手机号错误 的接口成功/失败码、权限和数据结果"
TK-28,"编写并执行黑盒验收：医生账号登录",待开发,khyxone,接口验收,迭代1,2026-07-17,2026-07-17,28,P0,关键,anmory666,ST-06,测试,1h,"医生账号登录 的接口成功/失败码、权限和数据结果"
TK-29,"编写并执行黑盒验收：医生越权新增材料",待开发,spikezzw,接口验收,迭代1,2026-07-17,2026-07-17,29,P0,关键,anmory666,ST-08,测试,1h,"医生越权新增材料 的接口成功/失败码、权限和数据结果"
TK-30,"编写并执行黑盒验收：医生只读访问仪表盘",待开发,khyxone,接口验收,迭代1,2026-07-17,2026-07-17,30,P0,关键,anmory666,ST-06,测试,1h,"医生只读访问仪表盘 的接口成功/失败码、权限和数据结果"
TK-31,"编写并执行黑盒验收：管理员重置医生密码",待开发,khyxone,接口验收,迭代1,2026-07-17,2026-07-17,31,P0,关键,anmory666,ST-06,测试,1h,"管理员重置医生密码 的接口成功/失败码、权限和数据结果"
TK-32,"编写并执行黑盒验收：旧密码在重置后失效",待开发,mengyetianxing,接口验收,迭代1,2026-07-17,2026-07-17,32,P0,关键,anmory666,ST-13,测试,1h,"旧密码在重置后失效 的接口成功/失败码、权限和数据结果"
TK-33,"编写并执行黑盒验收：默认重置密码登录",待开发,anmory666,接口验收,迭代1,2026-07-17,2026-07-17,33,P0,关键,anmory666,ST-01,测试,1h,"默认重置密码登录 的接口成功/失败码、权限和数据结果"
TK-34,"编写并执行黑盒验收：上传 PNG 图片",待开发,spikezzw,接口验收,迭代1,2026-07-17,2026-07-17,34,P0,关键,anmory666,ST-11,测试,1h,"上传 PNG 图片 的接口成功/失败码、权限和数据结果"
TK-35,"编写并执行黑盒验收：拒绝非图片上传",待开发,spikezzw,接口验收,迭代1,2026-07-17,2026-07-17,35,P0,关键,anmory666,ST-11,测试,1h,"拒绝非图片上传 的接口成功/失败码、权限和数据结果"
TK-36,"编写并执行黑盒验收：新增必备材料",待开发,spikezzw,接口验收,迭代1,2026-07-17,2026-07-17,36,P0,关键,anmory666,ST-08,测试,1h,"新增必备材料 的接口成功/失败码、权限和数据结果"
TK-37,"编写并执行黑盒验收：查询新增必备材料",待开发,spikezzw,接口验收,迭代1,2026-07-17,2026-07-17,37,P0,关键,anmory666,ST-08,测试,1h,"查询新增必备材料 的接口成功/失败码、权限和数据结果"
TK-38,"编写并执行黑盒验收：修改必备材料",待开发,spikezzw,接口验收,迭代1,2026-07-17,2026-07-17,38,P0,关键,anmory666,ST-08,测试,1h,"修改必备材料 的接口成功/失败码、权限和数据结果"
TK-39,"编写并执行黑盒验收：新增医药公司政策",待开发,spikezzw,接口验收,迭代1,2026-07-17,2026-07-17,39,P0,关键,anmory666,ST-09,测试,1h,"新增医药公司政策 的接口成功/失败码、权限和数据结果"
TK-40,"编写并执行黑盒验收：查询新增医药公司政策",待开发,spikezzw,接口验收,迭代1,2026-07-17,2026-07-17,40,P0,关键,anmory666,ST-09,测试,1h,"查询新增医药公司政策 的接口成功/失败码、权限和数据结果"
TK-41,"编写并执行黑盒验收：修改医药公司政策",待开发,spikezzw,接口验收,迭代1,2026-07-17,2026-07-17,41,P0,关键,anmory666,ST-09,测试,1h,"修改医药公司政策 的接口成功/失败码、权限和数据结果"
TK-42,"编写并执行黑盒验收：新增医保政策",待开发,spikezzw,接口验收,迭代1,2026-07-17,2026-07-17,42,P0,关键,anmory666,ST-10,测试,1h,"新增医保政策 的接口成功/失败码、权限和数据结果"
TK-43,"编写并执行黑盒验收：查询新增医保政策",待开发,spikezzw,接口验收,迭代1,2026-07-17,2026-07-17,43,P0,关键,anmory666,ST-10,测试,1h,"查询新增医保政策 的接口成功/失败码、权限和数据结果"
TK-44,"编写并执行黑盒验收：修改医保政策",待开发,spikezzw,接口验收,迭代1,2026-07-17,2026-07-17,44,P0,关键,anmory666,ST-10,测试,1h,"修改医保政策 的接口成功/失败码、权限和数据结果"
TK-45,"编写并执行黑盒验收：新增药品",待开发,khyxone,接口验收,迭代1,2026-07-17,2026-07-17,45,P0,关键,anmory666,ST-07,测试,1h,"新增药品 的接口成功/失败码、权限和数据结果"
TK-46,"编写并执行黑盒验收：查询新增药品",待开发,khyxone,接口验收,迭代1,2026-07-17,2026-07-17,46,P0,关键,anmory666,ST-07,测试,1h,"查询新增药品 的接口成功/失败码、权限和数据结果"
TK-47,"编写并执行黑盒验收：修改药品",待开发,khyxone,接口验收,迭代1,2026-07-17,2026-07-17,47,P0,关键,anmory666,ST-07,测试,1h,"修改药品 的接口成功/失败码、权限和数据结果"
TK-48,"编写并执行黑盒验收：删除药品",待开发,khyxone,接口验收,迭代1,2026-07-17,2026-07-17,48,P0,关键,anmory666,ST-07,测试,1h,"删除药品 的接口成功/失败码、权限和数据结果"
TK-49,"编写并执行黑盒验收：删除医药公司政策",待开发,spikezzw,接口验收,迭代1,2026-07-17,2026-07-17,49,P0,关键,anmory666,ST-09,测试,1h,"删除医药公司政策 的接口成功/失败码、权限和数据结果"
TK-50,"编写并执行黑盒验收：删除医保政策",待开发,spikezzw,接口验收,迭代1,2026-07-17,2026-07-17,50,P0,关键,anmory666,ST-10,测试,1h,"删除医保政策 的接口成功/失败码、权限和数据结果"
TK-51,"编写并执行黑盒验收：删除必备材料",待开发,spikezzw,接口验收,迭代1,2026-07-17,2026-07-17,51,P0,关键,anmory666,ST-08,测试,1h,"删除必备材料 的接口成功/失败码、权限和数据结果"
TK-52,"编写并执行黑盒验收：删除医生",待开发,khyxone,接口验收,迭代1,2026-07-17,2026-07-17,52,P0,关键,anmory666,ST-06,测试,1h,"删除医生 的接口成功/失败码、权限和数据结果"
TK-53,"编写并执行黑盒验收：删除销售地点",待开发,Ning_24,接口验收,迭代1,2026-07-17,2026-07-17,53,P0,关键,anmory666,ST-04,测试,1h,"删除销售地点 的接口成功/失败码、权限和数据结果"
TK-54,"编写并执行黑盒验收：删除医药公司",待开发,Ning_24,接口验收,迭代1,2026-07-17,2026-07-17,54,P0,关键,anmory666,ST-04,测试,1h,"删除医药公司 的接口成功/失败码、权限和数据结果"
TK-55,"编写并执行黑盒验收：删除城市",待开发,Ning_24,接口验收,迭代1,2026-07-17,2026-07-17,55,P0,关键,anmory666,ST-04,测试,1h,"删除城市 的接口成功/失败码、权限和数据结果"
TK-56,"编写并执行黑盒验收：管理员退出登录",待开发,anmory666,接口验收,迭代1,2026-07-17,2026-07-17,56,P0,关键,anmory666,ST-01,测试,1h,"管理员退出登录 的接口成功/失败码、权限和数据结果"
TK-57,"编写并执行黑盒验收：退出后 Token 失效",待开发,anmory666,接口验收,迭代1,2026-07-17,2026-07-17,57,P0,关键,anmory666,ST-01,测试,1h,"退出后 Token 失效 的接口成功/失败码、权限和数据结果"
