"story","status","处理人","模块","迭代","预计开始日期","预计结束日期","优先级顺序","优先级","重要程度","抄送人","父工作项","领域","预计工时","具体内容"
"重复医生手机号错误","待开发","khyxone","医生与药品","迭代1","2026-07-15","2026-07-15","27","P1","重要","anmory666","","接口验收","1h","POST 接口场景：重复医生手机号错误"
"医生账号登录","待开发","anmory666","认证与权限","迭代1","2026-07-15","2026-07-15","28","P0","关键","anmory666","","接口验收","1h","POST 接口场景：医生账号登录"
"医生越权新增材料","待开发","khyxone","医生与药品","迭代1","2026-07-15","2026-07-15","29","P0","关键","anmory666","","接口验收","1h","POST 接口场景：医生越权新增材料"
"医生只读访问仪表盘","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-15","2026-07-15","30","P1","重要","anmory666","","接口验收","1h","GET 接口场景：医生只读访问仪表盘"
"管理员重置医生密码","待开发","khyxone","医生与药品","迭代1","2026-07-15","2026-07-15","31","P1","重要","anmory666","","接口验收","1h","PUT 接口场景：管理员重置医生密码"
"旧密码在重置后失效","待开发","mengyetianxing","测试与交付","迭代1","2026-07-15","2026-07-15","32","P1","重要","anmory666","","接口验收","1h","POST 接口场景：旧密码在重置后失效"
"默认重置密码登录","待开发","anmory666","认证与权限","迭代1","2026-07-15","2026-07-15","33","P0","关键","anmory666","","接口验收","1h","POST 接口场景：默认重置密码登录"
"上传 PNG 图片","待开发","spikezzw","材料政策与文件","迭代1","2026-07-15","2026-07-15","34","P0","关键","anmory666","","接口验收","1h","POST 接口场景：上传 PNG 图片"
"拒绝非图片上传","待开发","spikezzw","材料政策与文件","迭代1","2026-07-15","2026-07-15","35","P0","关键","anmory666","","接口验收","1h","POST 接口场景：拒绝非图片上传"
"新增必备材料","待开发","spikezzw","材料政策与文件","迭代1","2026-07-15","2026-07-15","36","P1","重要","anmory666","","接口验收","1h","POST 接口场景：新增必备材料"
"查询新增必备材料","待开发","spikezzw","材料政策与文件","迭代1","2026-07-16","2026-07-16","37","P1","重要","anmory666","","接口验收","1h","GET 接口场景：查询新增必备材料"
"修改必备材料","待开发","spikezzw","材料政策与文件","迭代1","2026-07-16","2026-07-16","38","P1","重要","anmory666","","接口验收","1h","PUT 接口场景：修改必备材料"
"新增医药公司政策","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-16","2026-07-16","39","P1","重要","anmory666","","接口验收","1h","POST 接口场景：新增医药公司政策"
"查询新增医药公司政策","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-16","2026-07-16","40","P1","重要","anmory666","","接口验收","1h","GET 接口场景：查询新增医药公司政策"
"修改医药公司政策","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-16","2026-07-16","41","P1","重要","anmory666","","接口验收","1h","PUT 接口场景：修改医药公司政策"
"新增医保政策","待开发","spikezzw","材料政策与文件","迭代1","2026-07-16","2026-07-16","42","P1","重要","anmory666","","接口验收","1h","POST 接口场景：新增医保政策"
"查询新增医保政策","待开发","spikezzw","材料政策与文件","迭代1","2026-07-16","2026-07-16","43","P1","重要","anmory666","","接口验收","1h","GET 接口场景：查询新增医保政策"
"修改医保政策","待开发","spikezzw","材料政策与文件","迭代1","2026-07-16","2026-07-16","44","P1","重要","anmory666","","接口验收","1h","PUT 接口场景：修改医保政策"
"新增药品","待开发","khyxone","医生与药品","迭代1","2026-07-16","2026-07-16","45","P1","重要","anmory666","","接口验收","1h","POST 接口场景：新增药品"
"查询新增药品","待开发","khyxone","医生与药品","迭代1","2026-07-16","2026-07-16","46","P1","重要","anmory666","","接口验收","1h","GET 接口场景：查询新增药品"
"修改药品","待开发","khyxone","医生与药品","迭代1","2026-07-16","2026-07-16","47","P1","重要","anmory666","","接口验收","1h","PUT 接口场景：修改药品"
"删除药品","待开发","khyxone","医生与药品","迭代1","2026-07-16","2026-07-16","48","P1","重要","anmory666","","接口验收","1h","DELETE 接口场景：删除药品"
"删除医药公司政策","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-17","2026-07-17","49","P1","重要","anmory666","","接口验收","1h","DELETE 接口场景：删除医药公司政策"
"删除医保政策","待开发","spikezzw","材料政策与文件","迭代1","2026-07-17","2026-07-17","50","P1","重要","anmory666","","接口验收","1h","DELETE 接口场景：删除医保政策"
"删除必备材料","待开发","spikezzw","材料政策与文件","迭代1","2026-07-17","2026-07-17","51","P1","重要","anmory666","","接口验收","1h","DELETE 接口场景：删除必备材料"
"删除医生","待开发","khyxone","医生与药品","迭代1","2026-07-17","2026-07-17","52","P1","重要","anmory666","","接口验收","1h","DELETE 接口场景：删除医生"
"删除销售地点","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-17","2026-07-17","53","P1","重要","anmory666","","接口验收","1h","DELETE 接口场景：删除销售地点"
"删除医药公司","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-17","2026-07-17","54","P1","重要","anmory666","","接口验收","1h","DELETE 接口场景：删除医药公司"
"删除城市","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-17","2026-07-17","55","P1","重要","anmory666","","接口验收","1h","DELETE 接口场景：删除城市"
"管理员退出登录","待开发","anmory666","认证与权限","迭代1","2026-07-17","2026-07-17","56","P0","关键","anmory666","","接口验收","1h","POST 接口场景：管理员退出登录"
"退出后 Token 失效","待开发","anmory666","认证与权限","迭代1","2026-07-17","2026-07-17","57","P1","重要","anmory666","","接口验收","1h","GET 接口场景：退出后 Token 失效"
